id,tipo,titulo,país,data_adicionado,ano_lancamento,classificacao,duracao,genero,aplicativo
s23,Filme,Zis Boom Bah,Nao Declarado,,1941,Adultos,62 min,"Artes, Entretenimento e Cultura, Comedia, Drama",Amazon
s24,Serie,ZeroZeroZero,Italia,,2020,18+,1 Temporada,Series,Amazon
s25,Filme,Zandalee,Nao Declarado,,1991,Restrito,94 min,Drama,Amazon
s26,Filme,Zambezi: Force of Life,Nao Declarado,,2005,Livre,50 min,Documentario,Amazon
s27,Serie,Zahara: The Return,Nao Declarado,,2020,16+,1 Temporada,Series,Amazon
s28,Serie,Z: The Beginning of Everything,Estados Unidos,,2017,18+,1 Temporada,"Comedia, Drama",Amazon
s29,Serie,Yu-Gi-Oh! Zexal,Nao Declarado,,2015,7+,3 Temporadas,"Animacao, Anime, Fantasia",Amazon
s30,Serie,Yu-Gi-Oh! ARC-V,Nao Declarado,,2018,7+,3 Temporadas,"Acao, Aventura, Animacao",Amazon
s31,Serie,Yu-Gi-Oh! 5D's,Nao Declarado,,2011,7+,2 Temporadas,"Anime, Infantil",Amazon
s32,Serie,Your Bleeped Up Brain,Nao Declarado,,2013,7+,1 Temporada,Series,Amazon
s33,Filme,Young Lovers,Nao Declarado,,1949,18+,86 min,Drama,Amazon
s34,Filme,Young Love (at the Sun Factory),Nao Declarado,,2007,Adultos,36 min,"Musica, Videos e Concertos",Amazon
s35,Filme,Young Love (at Bowery Ballroom),Nao Declarado,,2007,Adultos,37 min,"Musica, Videos e Concertos",Amazon
s36,Serie,Young Lions,Nao Declarado,,2002,16+,1 Temporada,"Drama, Suspense",Amazon
s37,Filme,You're Not You,Nao Declarado,,2015,Restrito,103 min,Drama,Amazon
s38,Filme,"You, Me and Him",Nao Declarado,,2017,Nao avaliado,98 min,"Comedia, Drama",Amazon
s39,Filme,Yoga with Sound Meditations,Nao Declarado,,2016,Livre,9 min,"Fitness, Conteudo Especial",Amazon
s40,Filme,Yoga to Harness Your Chakra Energy,Nao Declarado,,2014,Livre,18 min,"Fe e Espiritualidade, Conteudo Especial",Amazon
s41,Filme,Yoga to Ease Flight Anxiety,Nao Declarado,,2016,Livre,14 min,"Fitness, Conteudo Especial",Amazon
s42,Filme,Yoga to Break Any Habit,Nao Declarado,,2014,Livre,20 min,Conteudo Especial,Amazon
s43,Serie,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",Nao Declarado,,2018,Livre,1 Temporada,Fitness,Amazon
s44,Filme,Yoga Savasana Relaxation,Nao Declarado,,2014,Livre,19 min,"Fitness, Conteudo Especial",Amazon
s45,Filme,Yoga for Relaxation Anywhere,Nao Declarado,,2014,Livre,18 min,"Fitness, Conteudo Especial",Amazon
s46,Filme,Yoga for Relaxation and Stress Relief Anywhere,Nao Declarado,,2014,Livre,20 min,"Fitness, Conteudo Especial",Amazon
s47,Filme,Yoga for Relaxation and Stress Relief,Nao Declarado,,2014,Livre,20 min,Conteudo Especial,Amazon
s48,Filme,Yoga for Mindfulness and Meditation,Nao Declarado,,2016,Livre,22 min,"Fitness, Conteudo Especial",Amazon
s49,Filme,Yoga for Men's Health,Nao Declarado,,2016,Livre,60 min,"Fitness, Conteudo Especial",Amazon
s50,Filme,Yoga for Breath Awareness,Nao Declarado,,2016,Livre,6 min,"Fitness, Conteudo Especial",Amazon
s51,Filme,Yoga For Beginners,Nao Declarado,,2016,Livre,54 min,"Fitness, Conteudo Especial",Amazon
s52,Filme,Yoga for Abdominal Breathing,Nao Declarado,,2019,Livre,5 min,Conteudo Especial,Amazon
s53,Filme,Yellowneck,Nao Declarado,,1955,18+,84 min,"Acao, Militar e Guerra, Ocidental",Amazon
s54,Serie,Yearly Departed,Nao Declarado,,2020,16+,1 Temporada,"Artes, Entretenimento e Cultura, Comedia, Entrevistas e Variedade",Amazon
s55,Filme,Yatra (Telugu),Nao Declarado,,2019,Livre,126 min,"Drama, Internacional",Amazon
s56,Filme,Yatra (Malayalam),Nao Declarado,,2019,Livre,125 min,"Drama, Internacional",Amazon
s57,Serie,Yancy Derringer,Nao Declarado,,1959,13+,1 Temporada,"Acao, Ocidental",Amazon
s58,Serie,Xploration Earth 2050,Nao Declarado,,2017,Livre,2 Temporadas,Documentario e Ficcao Cientifica,Amazon
s59,Serie,Xiaolin Chronicles,Nao Declarado,,2015,7+,1 Temporada,"Aventura, Animacao, Infantil",Amazon
s60,Filme,Xchange,Nao Declarado,,2001,Restrito,109 min,"Fantasia, Ficcao Cientifica, Suspense",Amazon
s61,Filme,X-Ray,Nao Declarado,,1983,Restrito,89 min,Suspense,Amazon
s62,Serie,WWII in HD,Nao Declarado,,2009,14+,1 Temporada,Acao,Amazon
s63,Filme,Wrangler: Anatomy of an Icon,Nao Declarado,,2008,18+,85 min,"Documentario, LGBTQ",Amazon
s64,Serie,WPC 56,Nao Declarado,,2015,13+,3 Temporadas,"Drama, Romance, Suspense",Amazon
s65,Serie,Would I Lie to You?,Nao Declarado,,2009,7+,1 Temporada,"Comedia, Conteudo Especial, Improvisado",Amazon
s66,Serie,Wotakoi: Love is Hard for Otaku,Nao Declarado,,2018,Adultos,1 Temporada,Series,Amazon
s67,Serie,World’s Toughest Race: Eco-Challenge Fiji,Estados Unidos,,2020,13+,1 Temporada,Improvisado,Amazon
s68,Serie,World War II: When Lions Roared,Nao Declarado,,1994,14+,1 Temporada,Drama,Amazon
s69,Filme,World War II: Saving the Reality,Nao Declarado,,2012,Nao avaliado,56 min,Documentario,Amazon
s70,Serie,World War 2 - The Call of Duty: A Complete Timeline,Nao Declarado,,2020,13+,1 Temporada,"Documentario, Militar e Guerra",Amazon
s71,Filme,World Inferno Friendship Society,Nao Declarado,,2007,Adultos,40 min,"Musica, Videos e Concertos",Amazon
s72,Serie,World Food Championships,Nao Declarado,,2014,7+,1 Temporada,Series,Amazon
s73,Serie,WordWorld,Nao Declarado,,2007,Livre,1 Temporada,Infantil,Amazon
s74,Filme,Words On Bathroom Walls,Nao Declarado,,2020,13+,111 min,Drama,Amazon
s75,Serie,WordGirl,Nao Declarado,,2010,Livre,1 Temporada,Infantil,Amazon
s76,Serie,Wonders of Mexico,Nao Declarado,,2018,Livre,1 Temporada,"Documentario, Conteudo Especial",Amazon
s77,Filme,Wonderful Nursery Rhymes with Mia - Little Baby Bum,Nao Declarado,,2019,Livre,33 min,Infantil,Amazon
s78,Filme,Wonderful Nursery Rhymes with Jacus - By Little Baby Bum,Nao Declarado,,2019,Livre,34 min,Infantil,Amazon
s79,Serie,Wonder Balls,Nao Declarado,,2015,Livre,1 Temporada,"Animacao, Infantil",Amazon
s80,Filme,Women of Valor,Nao Declarado,,1986,16+,95 min,"Acao, Drama",Amazon
s81,Filme,Woman Of Desire,Nao Declarado,,1994,Restrito,99 min,"Drama, Suspense",Amazon
s82,Filme,Woke Up Like This,Nao Declarado,,2017,13+,104 min,Comedia,Amazon
s83,Filme,"Wizard of Loneliness, The",Nao Declarado,,1988,13+,111 min,Drama,Amazon
s84,Filme,Within Our Gates,Nao Declarado,,1920,13+,78 min,Drama,Amazon
s85,Serie,Wishenpoof,Estados Unidos,,2019,Livre,4 Temporadas,Infantil,Amazon
s86,Serie,Wisconsin Unexplained,Nao Declarado,,2018,16+,1 Temporada,Series,Amazon
s87,Serie,Wipeout Canada,Nao Declarado,,2011,Livre,1 Temporada,"Comedia, Documentario, Improvisado",Amazon
s88,Serie,Wipeout Australia,Nao Declarado,,2009,7+,1 Temporada,"Comedia, Documentario, Improvisado",Amazon
s89,Filme,Winterset,Nao Declarado,,1936,Adultos,77 min,"Acao, Drama",Amazon
s90,Filme,Winds Of The Wasteland,Nao Declarado,,1936,13+,55 min,Ocidental,Amazon
s91,Filme,Wind,Nao Declarado,,1992,13+,126 min,"Acao, Drama, Esportes",Amazon
s92,Filme,William the Conqueror,Nao Declarado,,2015,13+,53 min,"Documentario, Conteudo Especial",Amazon
s93,Filme,William Tecumseh Sherman: Beyond the March to the Sea,Nao Declarado,,2019,13+,115 min,"Documentario, Conteudo Especial",Amazon
s94,Filme,William Lee Martin: The Nutcracker - A Christmas Stand-up Comedy Spectacular,Nao Declarado,,2019,16+,55 min,"Artes, Entretenimento e Cultura, Comedia",Amazon
s95,Filme,William Lee Martin: Standing in the Middle,Nao Declarado,,2019,18+,58 min,"Artes, Entretenimento e Cultura, Comedia, Conteudo Especial",Amazon
s96,Filme,William and Kate: Into the Future,Nao Declarado,,2011,Livre,49 min,"Documentario, Internacional, Conteudo Especial",Amazon
s97,Filme,Wildlike,Nao Declarado,,2021,16+,104 min,"Acao, Drama",Amazon
s98,Filme,Wildfire 7,Nao Declarado,,2002,Nao avaliado,95 min,"Acao, Drama",Amazon
s99,Serie,Wildest Places,Nao Declarado,,2019,Livre,3 Temporadas,"Documentario, Conteudo Especial",Amazon
s100,Filme,Wilder Napalm,Nao Declarado,,1993,13+,109 min,"Comedia, Ficcao Cientifica",Amazon
s101,Serie,Wild North,Nao Declarado,,2014,7+,1 Temporada,"Documentario, Conteudo Especial",Amazon
s102,Serie,Wild Kratts,Nao Declarado,,2011,Infantil,1 Temporada,Infantil,Amazon
s103,Filme,Wild Geese,Nao Declarado,,2012,18+,135 min,Acao,Amazon
s104,Filme,Wild Colombia Revealed,Nao Declarado,,2016,7+,91 min,"Documentario, Conteudo Especial",Amazon
s105,Serie,Wild Boys,Nao Declarado,,2011,13+,1 Temporada,"Drama, Ocidental",Amazon
s106,Filme,Why We Fight,Nao Declarado,,2006,13+,99 min,Documentario,Amazon
s107,Serie,Why I Ran,Nao Declarado,,2008,7+,1 Temporada,Series,Amazon
s108,Filme,Whoop!,India,,2018,18+,64 min,"Artes, Entretenimento e Cultura",Amazon
s109,Filme,Who Wrote the New Testament?,Nao Declarado,,2016,Livre,131 min,"Drama, Conteudo Especial",Amazon
s110,Filme,Who Put The Klan Into Ku Klux Klan,Nao Declarado,,2018,13+,59 min,Documentario,Amazon
s111,Filme,Who Killed Doc Robin,Nao Declarado,,1948,Adultos,52 min,Comedia,Amazon
s112,Filme,Whitney Cummings: Money Shot,Nao Declarado,,2010,Nao avaliado,48 min,"Artes, Entretenimento e Cultura, Comedia, Conteudo Especial",Amazon
s113,Serie,Whitechapel,Nao Declarado,,2013,14+,4 Temporadas,"Drama, Suspense",Amazon
s114,Filme,White Tiger,Nao Declarado,,2021,16+,109 min,"Acao, Ficcao Cientifica",Amazon
s115,Filme,White Savior: Racism In The American Church,Nao Declarado,,2019,16+,62 min,"Documentario, Fe e Espiritualidade, Conteudo Especial",Amazon
s116,Serie,White Dragon,Nao Declarado,,2019,16+,1 Temporada,Drama,Amazon
s117,Filme,Whistle Stop,Nao Declarado,,1946,13+,84 min,Drama,Amazon
s118,Filme,Where Love Found Me,Nao Declarado,,2018,13+,85 min,"Acao, Drama, Conteudo Especial",Amazon
s119,Filme,Where is Chicky? - Chapter Two,Nao Declarado,,2019,Livre,22 min,"Animacao, Infantil",Amazon
s120,Filme,Where is Chicky? - Chapter Three,Nao Declarado,,2019,Livre,22 min,"Animacao, Infantil",Amazon
s121,Filme,Where is Chicky? - Chapter One,Nao Declarado,,2019,Livre,22 min,"Animacao, Infantil",Amazon
s122,Filme,Where is Chicky? - Chapter Four,Nao Declarado,,2019,Livre,22 min,"Animacao, Infantil",Amazon
s123,Filme,Where Hands Touch,Nao Declarado,,2019,13+,122 min,"Drama, Publico Jovem Adulto",Amazon
s124,Filme,When the Lights Go On Again,Nao Declarado,,1944,16+,103 min,"Drama, Militar e Guerra",Amazon
s125,Filme,When in your reflection,Nao Declarado,,2019,16+,9 min,Drama,Amazon
s126,Filme,When Did You Last See Your Father?,Nao Declarado,,2008,13+,92 min,"Casa de Arte, Drama",Amazon
s127,Filme,When a Woman Loves A Man,Nao Declarado,,2019,13+,90 min,Drama,Amazon
s128,Filme,WHATEVER FATHER,Nao Declarado,,2018,Livre,102 min,Comedia,Amazon
s129,Serie,What's Up In Space: The Solar System For Kids,Nao Declarado,,2010,Livre,1 Temporada,"Documentario, Infantil, Conteudo Especial",Amazon
s130,Serie,What's My Line?,Nao Declarado,,1955,Livre,1 Temporada,Improvisado,Amazon
s131,Serie,What Went Wrong: Countdown to Catastrophe,Nao Declarado,,2019,13+,1 Temporada,"Documentario, Conteudo Especial",Amazon
s132,Serie,What The Constitution Means To Me,Nao Declarado,,2020,16+,1 Temporada,Comedia,Amazon
s133,Filme,What Price Crime,Nao Declarado,,1935,18+,65 min,Suspense,Amazon
s134,Filme,What Comes Around,Nao Declarado,,1985,13+,114 min,"Acao, Aventura Comedia",Amazon
s135,Serie,WGC-Dell Technologies Match Play Reveal Show,Nao Declarado,,2021,Adultos,1 Temporada,Esporte,Amazon
s136,Filme,Western Gold,Nao Declarado,,1937,18+,56 min,"Militar e Guerra, Ocidental",Amazon
s137,Filme,West of Nevada,Nao Declarado,,1936,Adultos,59 min,"Acao, Comedia, Drama",Amazon
s138,Serie,Wendy,Nao Declarado,,2016,Livre,1 Temporada,"Animacao, Infantil",Amazon
s139,Serie,WellieWishers,Nao Declarado,,2017,Livre,2 Temporadas,Infantil,Amazon
s140,Filme,Welcome to the Space Show (English Dub),Nao Declarado,,2011,13+,136 min,Anime,Amazon
s141,Serie,Welcome to the Ballroom,Nao Declarado,,2017,Adultos,1 Temporada,Series,Amazon
s142,Filme,Welcome To Kutsher's: The Last Catskills Resort,Nao Declarado,,2015,13+,70 min,"Documentario, Conteudo Especial",Amazon
s143,Filme,Wedding Cha Shinema,India,,2019,Livre,138 min,"Comedia, Internacional",Amazon
s144,Filme,We'll Take Manhattan,Nao Declarado,,2012,16+,89 min,"Drama, Romance",Amazon
s145,Filme,We Need to Talk About Kevin,Nao Declarado,,2012,Restrito,113 min,"Drama, Terror, Suspense",Amazon
s146,Serie,Wayne (4K UHD),Nao Declarado,,2019,Adultos,1 Temporada,Drama,Amazon
s147,Filme,Watermelon Man,Nao Declarado,,1970,Restrito,100 min,Comedia,Amazon
s148,Filme,Waterfalls for Sleep 8 Hours,Nao Declarado,,2016,Livre,480 min,"Documentario, Conteudo Especial",Amazon
s149,Filme,WATER (short),Nao Declarado,,2017,Livre,4 min,Documentario,Amazon
s150,Serie,Watch the Game Like Never Before with X-Ray,Nao Declarado,,2020,Adultos,1 Temporada,Series,Amazon
s151,Filme,Wash Your Hands & More Classic Kids Songs - KiiYii,Nao Declarado,,2020,Livre,30 min,Infantil,Amazon
s152,Filme,War of Likes,Nao Declarado,,2021,16+,104 min,Comedia,Amazon
s153,Filme,War Comes to America,Nao Declarado,,1945,Adultos,65 min,"Documentario, Conteudo Especial",Amazon
s154,Filme,War (Telugu),Nao Declarado,,2019,13+,152 min,"Acao, Drama, Suspense",Amazon
s155,Filme,War (Tamil),Nao Declarado,,2019,13+,152 min,"Acao, Drama, Suspense",Amazon
s156,Filme,Walter Williams: Suffer No Fools,Nao Declarado,,2014,13+,55 min,Conteudo Especial,Amazon
s157,Filme,Walter,Nao Declarado,,2015,Nao avaliado,86 min,"Comedia, Drama",Amazon
s158,Serie,Wallace & Gromit's Cracking Contraptions,Nao Declarado,,2002,Adultos,1 Temporada,"Animacao, Comedia, Infantil",Amazon
s159,Serie,Wallace & Gromit: The Complete Collection,Nao Declarado,,2008,Adultos,1 Temporada,"Animacao, Comedia, Infantil",Amazon
s160,Filme,Wallaby Jim of the Islands,Nao Declarado,,1937,13+,68 min,"Acao, Suspense",Amazon
s161,Filme,Wall Street Cowboy,Nao Declarado,,1939,18+,57 min,Ocidental,Amazon
s162,Filme,Walkaway Joe,Nao Declarado,,2020,16+,89 min,"Acao, Drama",Amazon
s163,Serie,Wake In Fright,Nao Declarado,,2017,16+,1 Temporada,"Acao, Drama, Suspense",Amazon
s164,Serie,Wakaalat From Home,Nao Declarado,,2020,16+,1 Temporada,Comedia,Amazon
s165,Filme,Waiting on Mary,Nao Declarado,,2016,18+,77 min,"Comedia, Drama",Amazon
s166,Filme,Waiting for You,"Reino Unido, Franca",,2018,13+,92 min,"Drama, Romance, Suspense",Amazon
s167,Filme,Waiting for Lightning,Nao Declarado,,2012,13+,96 min,"Documentario, Esporte",Amazon
s168,Filme,Waiting for Anya,Nao Declarado,,2020,13+,109 min,"Acao, Drama",Amazon
s169,Filme,Wait For Your Laugh,Nao Declarado,,2018,13+,85 min,"Arte, Entretenimento, Cultura, Documentario",Amazon
s170,Serie,Wahlburgers,Nao Declarado,,2017,7+,7 Temporadas,"Documnetario, Drama, Improvisado ",Amazon
s171,Serie,Waco: Madman or Messiah,Nao Declarado,,2018,14+,1 Temporada,"Documentario, Conteudo Especial",Amazon
s172,Serie,Voyage of the Continents,Nao Declarado,,2013,13+,1 Temporada,"Documentario, Conteudo Especial",Amazon
s173,Filme,Voyage Into Space,Nao Declarado,,1970,13+,98 min,Ficcao Cientifica,Amazon
s174,Filme,Vows of Deception,Estados Unidos,,1996,13+,94 min,"Drama, Suspense",Amazon
s175,Filme,Volcano: Fire on the Mountain,Nao Declarado,,1997,16+,88 min,"Acao, Ficcao Cientifica, Suspense",Amazon
s176,Filme,Voice From the Stone,"Estados Unidos, Italia",,2017,Restrito,90 min,"Drama, Suspense",Amazon
s177,Serie,Vocabulary and Numbers with Harry the Bunny and Friends,Nao Declarado,,2018,Livre,2 Temporadas,Series,Amazon
s178,Filme,VocabuLarry,Nao Declarado,,2012,Livre,31 min,Infantil,Amazon
s179,Filme,Viswasam,India,,2019,13+,151 min,"Acao, Drama, Internacional",Amazon
s180,Filme,Visit to a Chief's Son,Nao Declarado,,1974,Livre,92 min,Drama,Amazon
s181,Filme,Virus,India,,2019,Livre,149 min,"Drama, Ficcao Cientifica, Suspense",Amazon
s182,Filme,Virginia,Nao Declarado,,2012,Restrito,111 min,Drama,Amazon
s183,Filme,Violets Are Blue,Nao Declarado,,1986,13+,86 min,"Drama, Romance",Amazon
s184,Serie,VINLAND SAGA,Nao Declarado,,2019,Adultos,1 Temporada,Anime,Amazon
s185,Filme,Vinci Da,Nao Declarado,,2019,16+,113 min,"Internacional, Suspense",Amazon
s186,Serie,Vikings,Nao Declarado,,2020,14+,9 Temporadas,"Acao, Drama",Amazon
s187,Filme,Vietnam: Secret Negotiations that Ended the War,Nao Declarado,,2015,13+,53 min,"Documentario, Internacional, Conteudo Especial",Amazon
s188,Serie,Victorian Farm: Christmas Special,Nao Declarado,,2009,Livre,1 Temporada,Series,Amazon
s189,Serie,Victorian Farm,Nao Declarado,,2009,14+,1 Temporada,Documentario,Amazon
s190,Filme,Vicky Velingkar,India,,2019,13+,125 min,"Internacional, Suspense",Amazon
s191,Serie,Vets in Action,Nao Declarado,,2008,13+,1 Temporada,"Documentario, Conteudo Especial",Amazon
s192,Serie,Very Superstitious with George Lopez,Nao Declarado,,2018,14+,1 Temporada,"Documnetario, Drama, Improvisado ",Amazon
s193,Filme,Venky Mama,Nao Declarado,,2019,13+,141 min,"Acao, Comedia, Drama",Amazon
s194,Filme,Vellai Pookal,"Estados Unidos, India",,2019,13+,121 min,"Internacional, Suspense",Amazon
s195,Serie,Vella Raja (Tamil),Nao Declarado,,2018,16+,1 Temporada,"Drama, International, Suspense",Amazon
s196,Serie,Vella Raja (Hindi),Nao Declarado,,2018,16+,1 Temporada,"Acao, Internacional",Amazon
s197,Filme,Vehicle Songs by Little Baby Bum,Nao Declarado,,2019,Livre,48 min,Infantil,Amazon
s198,Serie,Vatican Miracle Examiner,Nao Declarado,,2017,14+,1 Temporada,"Anime, Drama, Internacional",Amazon
s199,Serie,Vanity Fair,Nao Declarado,,2018,13+,1 Temporada,Drama,Amazon
s200,Filme,Valley Uprising,Nao Declarado,,2014,13+,99 min,"Acao, Documentario, Esportes",Amazon
s201,Filme,Valentine Road,Nao Declarado,,2013,16+,88 min,Documentario,Amazon
s202,Filme,Valentine DayZ,Nao Declarado,,2018,Nao avaliado,79 min,"Comedia, Terror",Amazon
s203,Filme,V1 Murder Case (Telugu),Nao Declarado,,2021,13+,111 min,"Acao, Suspense",Amazon
s204,Filme,V (Tamil),Nao Declarado,,2020,16+,140 min,"Acao, Drama, Suspense",Amazon
s205,Filme,V (Malayalam),Nao Declarado,,2020,16+,140 min,"Acao, Drama, Suspense",Amazon
s206,Filme,V (Kannada),Nao Declarado,,2020,16+,140 min,"Acao, Drama, Suspense",Amazon
s207,Serie,Utopia,Estados Unidos,,2020,16+,1 Temporada,"Drama, Suspense",Amazon
s208,Filme,Useless,Nao Declarado,,2020,Nao avaliado,90 min,Drama,Amazon
s209,Filme,USAISAMONSTER,Nao Declarado,,2007,Adultos,46 min,"Musica, Videos e Concertos",Amazon
s210,Filme,Us the Duo: Christmas Live in LA  (4K UHD),Nao Declarado,,2018,Livre,51 min,"Musica, Videos e Concertos",Amazon
s211,Filme,Us the Duo: Christmas Live in LA,Nao Declarado,,2018,Livre,51 min,"Musica, Videos e Concertos",Amazon
s212,Serie,UQ Holder!,Nao Declarado,,2017,14+,1 Temporada,"Acao, Aventura, Anime",Amazon
s213,Serie,Upload,Estados Unidos,,2020,16+,1 Temporada,Comedia,Amazon
s214,Filme,Up in Arms,Nao Declarado,,1944,13+,106 min,"Artes, Entretenimento e Cultura, Comedia",Amazon
s215,Filme,Unity: The Latin Tribute to Michael Jackson,Nao Declarado,,2015,Nao avaliado,75 min,"Artes, Entretenimento e Cultura",Amazon
s216,Serie,Unforgotten,Nao Declarado,,2019,Adultos,3 Temporadas,Suspense,Amazon
s217,Serie,Undone,Estados Unidos,,2019,16+,1 Temporada,"Animacao, Drama",Amazon
s218,Filme,Undocument,Nao Declarado,,2020,16+,93 min,Drama,Amazon
s219,Filme,Underworld Scandal,Nao Declarado,,1948,13+,60 min,"Drama, Suspense",Amazon
s220,Filme,Underwater Tunes with Little Baby Bum,Nao Declarado,,2019,Livre,27 min,Infantil,Amazon
s221,Filme,Underplayed,Nao Declarado,,2021,13+,90 min,Documentario,Amazon
s222,Filme,Underdogs,Nao Declarado,,2013,13+,104 min,Esporte,Amazon
s223,Filme,Under Western Stars,Nao Declarado,,1938,13+,60 min,Ocidental,Amazon
s224,Serie,Under the Power,Nao Declarado,,2019,14+,1 Temporada,"Drama, Romance",Amazon
s225,Filme,Under the Boardwalk: The Monopoly Story,Estados Unidos,,2011,Livre,88 min,"Documentario, Conteudo Especial",Amazon
s226,Filme,Under Nevada Skies,Nao Declarado,,1946,13+,69 min,Ocidental,Amazon
s227,Serie,Undeniable,Nao Declarado,,2014,16+,1 Temporada,"Drama, Suspense",Amazon
s228,Filme,Uncle Tom,Nao Declarado,,2020,18+,107 min,Documentario,Amazon
s229,Filme,Uncle Joe Shannon,Nao Declarado,,1978,13+,108 min,Drama,Amazon
s230,Serie,Uncle,Nao Declarado,,2014,14+,2 Temporadas,Comedia,Amazon
s231,Serie,Uncharted Waters with Peter Miller,Nao Declarado,,2020,7+,2 Temporadas,"Conteudo Especial, Esportes",Amazon
s232,Filme,Uncaged,Nao Declarado,,2020,18+,108 min,Terror,Amazon
s233,Serie,UnCabaret,Nao Declarado,,2012,Adultos,1 Temporada,"Artes, Entretenimento e Cultura, Comedia",Amazon
s234,Filme,Ultimate Fight,Nao Declarado,,2004,Restrito,91 min,"Acao, Drama",Amazon
s235,Filme,Ujda Chaman (4K UHD),Nao Declarado,,2019,Adultos,115 min,"Comedia, Internacional",Amazon
s236,Filme,UFOTV Presents: The Mystery of the Sphinx - New Scientific Evidence - Expanded Directors Cut,Nao Declarado,,2016,Livre,93 min,Conteudo Especial,Amazon
s237,Filme,UFOTV Presents The Occult Extraterrestrial War - America's Secret Space Fleet,Nao Declarado,,2017,Livre,38 min,Documentario e Ficcao Cientifica,Amazon
s238,Filme,UFOTV Presents The Day Before Disclosure,Nao Declarado,,2017,13+,104 min,Conteudo Especial,Amazon
s239,Filme,UFOTV Presence: I Know What I Saw,Nao Declarado,,2015,13+,92 min,Conteudo Especial,Amazon
s240,Filme,UFOs - The Secret History,Estados Unidos,,2016,Livre,102 min,Conteudo Especial,Amazon
s241,Serie,UFO Hunters,Nao Declarado,,2009,7+,2 Temporadas,"Documentario, Conteudo Especial",Amazon
s242,Serie,UFO Files,Nao Declarado,,2004,7+,1 Temporada,"Terror, Suspense",Amazon
s243,Serie,Uchimura Summers,Nao Declarado,,2018,Adultos,1 Temporada,"Artes, Entretenimento e Cultura",Amazon
s244,Filme,Two Weeks To Live,Nao Declarado,,1943,13+,157 min,"Acao, Comedia",Amazon
s245,Filme,Twinkle Twinkle Little Star & More Classic Nursery Rhymes by Little Baby Bum,Nao Declarado,,2019,Livre,43 min,Infantil,Amazon
s246,Filme,Twenty Bucks,Nao Declarado,,1993,Restrito,91 min,"Casa de Arte, Comedia, Drama",Amazon
s247,Filme,TV in Black: The First Fifty Years,Nao Declarado,,2004,13+,91 min,"Artes, Entretenimento e Cultura, Documentario, Interesse Especial",Amazon
s248,Serie,TuTu Town,Nao Declarado,,2014,Infantil,1 Temporada,"Animacao, Internacional, Infantil",Amazon
s249,Serie,Turquoise Fever,Nao Declarado,,2019,Livre,1 Temporada,"Acao, Drama",Amazon
s250,Filme,Turning Tables,Nao Declarado,,2020,16+,118 min,"Drama, Romance",Amazon
